house_size,latitude,longitude,numBathrooms,numBalconies,SecurityDeposit,numBalconies_nan,numBathrooms_nan,verification_years,verification_days,verification_months,verification_hours,Status_Furnished,Status_Semi-Furnished,Status_Unfurnished,house_type_cleaned_Apartment,house_type_cleaned_Independent Floor,house_type_cleaned_Independent House,house_type_cleaned_Villa
627.0,18.68650247,73.85807037,2.0,0.0,0.0,1,0,0,3,0,0,0,1,0,1,0,0,0
900.0,18.44337654,73.81282043,2.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0
550.0,18.59602737,73.75917053,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0
250.0,18.68650247,73.57200050125005,1.0,0.0,0.0,1,0,0,0,2,0,0,1,0,1,0,0,0
1200.0,18.68650247,74.15360451124997,2.0,0.0,0.0,1,0,0,22,0,0,0,1,0,1,0,0,0
1842.5,18.68650247,73.64609528,3.5,0.0,0.0,1,0,0,11,0,0,0,1,0,1,0,0,0
1650.0,18.59318161,73.77986908,3.0,0.0,0.0,1,0,0,5,0,0,1,0,0,1,0,0,0
1400.0,18.68650247,74.15360451124997,2.0,0.0,0.0,1,0,0,22,0,0,0,1,0,1,0,0,0
1200.0,18.68061447,73.82879639,2.0,0.0,0.0,1,0,3,0,0,0,0,1,0,1,0,0,0
905.0,18.5906601,73.77902985,2.0,0.0,0.0,1,0,3,0,0,0,0,1,0,1,0,0,0
650.0,18.55978584,73.77967834,1.0,0.0,0.0,1,0,2,0,0,0,0,0,1,1,0,0,0
754.0,18.48707962,74.01500702,2.0,0.0,0.0,1,0,2,0,0,0,0,0,1,1,0,0,0
1842.5,18.55982018,73.78572845,2.0,0.0,0.0,1,1,4,0,0,0,1,0,0,0,0,0,1
1842.5,18.68650247,73.57200050125005,3.5,0.0,0.0,1,0,0,21,0,0,1,0,0,1,0,0,0
1000.0,18.56719398,73.91213989,2.0,0.0,0.0,1,0,3,0,0,0,1,0,0,1,0,0,0
1000.0,18.439935670000004,73.85161591,2.0,0.0,0.0,1,0,2,0,0,0,0,1,0,1,0,0,0
730.0,18.52026939,73.76664734,1.0,0.0,0.0,1,0,3,0,0,0,0,1,0,1,0,0,0
621.0,18.55448723,73.89758301,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0
1600.0,18.55174637,73.78198242,3.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0
800.0,18.52124214,73.93656921,2.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0
980.0,18.60525894,73.91014862,2.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0
1842.5,18.58479881,73.97431183,3.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1
680.0,18.56602287,73.9102478,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0
550.0,18.44833183,73.92327881,1.0,0.0,0.0,1,0,0,23,0,0,0,1,0,1,0,0,0
550.0,18.55333519,73.94477844,1.0,0.0,0.0,1,0,0,3,0,0,0,0,1,1,0,0,0
700.0,18.58137703,73.98854828,2.0,0.0,0.0,1,0,0,11,0,0,0,0,1,1,0,0,0
1050.0,18.48160553,73.89597321,2.0,0.0,0.0,1,0,0,7,0,0,0,1,0,1,0,0,0
1100.0,18.57751656,73.9812851,2.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0
650.0,18.5635376,73.90897369,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0
1200.0,18.57848358,74.00447845,2.0,0.0,0.0,1,0,2,0,0,0,1,0,0,1,0,0,0
1500.0,18.56936264,73.87811279,3.0,0.0,0.0,1,0,2,0,0,0,0,0,1,1,0,0,0
710.0,18.58400536,73.99136353,2.0,0.0,0.0,1,0,3,0,0,0,0,1,0,1,0,0,0
750.0,18.58929634,73.81355286,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0
1650.0,18.51734543,73.93192291,3.0,0.0,0.0,1,0,3,0,0,0,0,0,1,1,0,0,0
1250.0,18.68650247,73.57200050125005,2.0,0.0,0.0,1,0,3,0,0,0,0,1,0,1,0,0,0
600.0,18.49023247,73.819664,1.0,0.0,0.0,1,0,0,0,2,0,0,1,0,1,0,0,0
950.0,18.5721302,73.76119995,2.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0
600.0,18.56800461,73.91990662,1.0,0.0,0.0,1,0,0,0,0,14,1,0,0,1,0,0,0
1050.0,18.49789619,73.90370941,2.0,0.0,0.0,1,0,0,24,0,0,0,1,0,1,0,0,0
900.0,18.54711151,73.93025208,2.0,0.0,0.0,1,0,0,14,0,0,0,1,0,1,0,0,0
1060.0,18.57188988,73.77677917,2.0,0.0,0.0,1,0,0,18,0,0,1,0,0,1,0,0,0
